record_id|employee_id|record_date|hours_worked|overtime_hours|performance_score|attendance_status|bonus_amount|salary_paid
70|1259|2021-07-23|163.9|11.5|3.7|present|0|790120.41
71|1498|2022-04-20|185.7|17.6|3.8|Present|438.44|948305.17
72|1392|2016-05-24|158.9|22.4|4.5|Leave|0|945184.84
73|1547|02/12/20|181.7|2.5|3.7|Present|0|
74|1169|06/10/24|173.1|18.7|1.7|present|35941.87|835550.49
75|1312|06-Jul-2019|157.0|17.3|3.1|Present|13006.79|767033.24
76|1222|November 28, 2019|154.7|3.1|3.9|present|35861.53|509440.87
77|1154|17/12/24|-5.0|17.3|3.2|Remote|0|709215.6
78|1743|June 09, 2020|126.9|14.0|3.7|Absent|0|449075.39
79|1212|01/22/2019|126.8|22.3||absent |0|182495.66
80|1119|2020-07-23||21.2|4.6|Present|0|395696.16
81|1744|2022-07-21|167.8||3.9|Absent|0|168761.73
82|1407|15-11-2020|198.2|16.5|2.4|Present|0|423964.62
83|1329|05/06/2019|199.1|7.4|1.1|Present|0|881109.88
84|1302|2024-07-10|145.8|19.0|3.1|PRESENT|0|194197.68
85|1607|2024-09-15|164.7|2.9|1.7|Leave|0|739711.62
86|1749|November 18, 2021|138.7|19.0|3.2|Present|0|695941.47
87|1758|09-01-2021|186.7|5.4|4.6|absent |0|402730.28
88|1069|January 13, 2023|151.3|1.3|1.3|absent |0|632255.34
89|1846|06-May-2022|187.4|13.6|3.4|Present|0|777680.13
90|1033|09/10/23|135.9|14.6|2.1|Present|21087.87|259630.53
91|1149|03-Aug-2021||14.0|4.9|Leave|0|666932.94
92|1256|22/11/22|156.0|8.7|1.3|Present|92.44|205355.9
93|1058|2021-05-10|179.9|23.3|4.9|Present|0|593783.67
94|1347|September 09, 2024||13.5|3.8|Present|0|732503.87
95|1645|10-01-2017|158.6|12.6|2.9|Leave||616829.78
96|1799|2019-04-27|138.2|19.0|4.7|Present|0|376981.07
97|1162|2022-10-15|138.5||4.8|Present|0|445604.65
98|1074|27-12-2021|128.6|11.7|3.8|Leave|35210.64|381590.61
99|1304|2020-02-26|137.3|22.9|3.7|absent |0|333662.37
100|1660|January 15, 2022|156.7|2.9|4.3|Present|49076.04|691910.78
101|1386|09/04/2019|133.2|19.8|3.6|Remote|0|756672.14
102|1399|2023-08-09|154.1|7.6|4.5|PRESENT|43246.57|460610.19
103|1816|14-03-2022|124.4|12.0|2.1|Present|0|
104|1660|November 26, 2017||2.0|1.7|Present|0|746354.43
105|1779|06/05/2024|170.3|4.0|3.1|Present|25946.01|910283.36
106|1838|27-Jan-2024|186.8|18.1|3.4|Present|0|287353.53
107|1172|22/04/21|120.2|7.2|1.9|PRESENT|0|575913.5
108|1157|08-Jul-2023|134.5|9.0|1.7|Remote|12638.46|367579.45
109|1105|16/09/21|130.5|9.3|3.5|Present|0|278739.99
110|1299|2023-12-13|189.8|9.3|2.2|present|0|309077.29
111|1238|2021-07-01|129.9|20.1|4.2|Present|0|338218.01
112|1164|November 09, 2023||5.3|2.9|Leave|34524.91|615261.72
113|1370|15/10/20|161.9|1.2|4.0|Leave|29342.1|674151.64
114|1115|October 25, 2024|189.6|2.8|4.0|present|40498.74|287695.96
115|1581|02/02/2018|148.1|7.3|1.5|Leave|0|940529.43
116|1555|22-11-2022|177.3|14.3|1.5|Leave|0|518220.98
117|1508|07-07-2020|162.7|9.7|2.2|Present|0|561302.92
118|1613|02-Jun-2020|162.1|10.1|2.3|Present|0|794605.33
119|1537|11-06-2024|166.0||2.0|Present|0|203088.69
120|1546|17-Jun-2024|128.9|10.6|1.7|Absent|0|314822.39
121|1144|03/02/2023|170.9||1.0|Leave|0|760789.6
122|1348|2020-04-09|162.7|13.0|2.3|Present|31265.06|813459.09
123|1004|12-05-2024|174.1|18.8|1.5|Absent|20801.38|414905.36
124|1227|October 27, 2020|122.5|16.6|1.6|Leave|16363.44|689407.43
125|1383|October 01, 2023|167.6|4.5|4.2|present|0|538451.3
126|1810|03/07/2023|198.4|0.3|4.4|present|20403.93|697607.15
127|1585|07/05/2022|185.3|3.4|3.0|PRESENT|0|571694.69
128|1396|March 26, 2021|150.8|0.1|1.9|Present|21055.79|835608.48
129|1228|16-Oct-2023|141.7|18.0|1.3|Present|0|562925.33
130|1259|07/21/2022|179.1|18.6|4.9|absent |0|619805.56
131|1520|17/12/21|185.8|0.1|4.0|Absent|0|607870.54
132|1517|03/10/22|181.3|4.4|1.9|Remote|0|381076.42
133|1190|2019-11-27|134.8|22.3|1.8|absent ||244570.96
134|1807|2018-02-10|125.7|3.3|3.2|Present|0|594698.74
135|1168|16-May-2022|160.6|24.4|2.6|Remote|0|437985.01
136|1056|23-12-2022|129.1|7.1|2.1|Present|0|504335.74
137|1276|14/07/17|121.8|23.2|2.5|Present|0|347755.25
138|1683|2024-08-08|150.8|15.6|3.3|Leave|0|927022.53
139|1086|08/10/2021|175.4|24.8|1.5|Leave|36341.39|352767.75
140|1477|07/11/2018|166.9|20.0|2.0|Present|37134.96|529044.15
141|1390|October 07, 2020|147.0|13.5|1.6|Remote|0|898578.97
142|1468|09/10/2015|145.1|8.9|3.1|PRESENT|44579.7|385201.21
143|1786|October 12, 2024|170.6|6.7|2.7|Absent|0|
144|1518|2022-03-17|158.1||3.5|Leave|0|677543.64
145|1086|17/01/23|148.6||1.8|Present|0|840058.37
146|1840|09-04-2023|193.3|14.5|2.5|Present|0|654890.79
147|1097|20-05-2018|122.8|9.2|4.3|PRESENT|0|441164.9
148|1604|December 12, 2023|129.0|6.4|1.6|Present|0|178949.1
149|1759|2018-01-05|182.1|12.4||Present|0|355720.74
150|1581|September 25, 2019|158.8|2.5|2.7|Absent|0|466858.04
151|1043|February 05, 2021|137.9|13.7|4.3|absent |15671.96|469205.05
152|1471|18-06-2021|195.7|0.6|2.1|Leave|0|424508.19
153|1357|06/16/2023|176.2|14.8|1.2|Present|0|234175.93
154|1741|2021-11-24|125.1|18.0|4.8|absent |0|422010.13
155|1232|22-06-2018|147.6|10.2|4.5|Present|0|632173.71
156|1407|03/28/2021|180.3|5.0|3.2|Present|0|373687.4
157|1598|11-02-2022|163.0|22.6|4.9|present|0|592235.05
158|1161|23/12/21|194.2||2.0|Present|13163.81|236288.91
159|1058|2017-12-05|197.5|14.9|4.6|Leave|0|777123.0
160|1398|March 18, 2024|-5.0|24.3|1.1|Absent|0|169023.9
161|1040|10/20/2020|155.5|15.6|3.0|Present|0|416504.82
162|1164|16/05/24|147.8|6.9|4.3|absent |0|170916.52
163|1409|21/11/18|183.0|2.8|1.2|Remote|0|555658.48
164|1310|03/20/2021|163.4|21.9|1.9|Absent|0|905967.45
165|1214|2021-11-15|137.7|3.7|5.0|present|0|829173.21
166|1140|12/03/20|162.0|8.6|4.6|Present|0|714889.55
167|1180|27-Jan-2022|167.3|13.2|2.8|absent |0|552280.85
168|1215|August 19, 2024|197.5|10.5||absent |0|295692.46
169|1466|11-Jun-2021|148.1|21.0|2.4|Leave|0|932952.44
170|1660|2018-01-01|158.8|10.8|5.0|Present|40057.62|849638.88
171|1702|22-05-2020|191.9|10.0|2.2|Present|0|402994.28
172|1730|2023-02-13|152.0||2.7|Present|0|345561.9
173|1835|July 08, 2023|167.7|12.7|2.6|Remote|0|913062.73
174|1807|October 18, 2022|132.1|9.1|2.4|Remote|0|741707.57
175|1061|2017-01-09|160.7|20.1|4.8|present|0|484719.89
176|1033|February 24, 2022|195.1|12.9|2.6|Present|45523.55|381555.64
177|1588|06/03/24|169.1|17.4|4.4|Present|0|196705.05
178|1383|05-04-2020|192.7|1.7|1.2|Remote|0|773528.26
179|1129|2023-02-26|140.6|23.8|2.5|Leave|0|548183.18
180|1822|2022-11-19|183.7|21.0|3.9|PRESENT|0|826691.77
181|1778|28-08-2024|144.8|4.5|4.2|Remote|0|842483.92
182|1191|November 23, 2022|154.4|14.5|3.6|Present|7264.71|283484.86
183|1130|02/01/24|162.1|1.0|1.7|Absent|0|342500.99
184|1324|03-01-2019|158.9|19.2|2.8|PRESENT|16880.25|301419.52
185|1175|February 05, 2021|135.1|21.2||Present|4486.03|334621.01
186|1494|12-09-2021|121.1|7.1|3.8|Present||482435.59
187|1582|22/03/23|149.6|2.2|2.3|Present|88.08|259820.58
188|1292|06/05/20|181.5|20.4|3.5|Present|0|316168.07
189|1329|April 28, 2019|127.0|5.3|4.9|Present|0|727911.64
190|1601|2022-04-19|123.9|9.7|3.0|Present|0|251927.21
191|1540|04-Oct-2024|147.8|22.5|1.9|PRESENT|0|604969.05
192|1078|06/06/2020|174.2|22.2||present|0|812830.1
193|1675|2024-05-06|182.0|1.3|3.5|Leave|33352.57|250346.28
194|1802|01/06/2020|193.4|22.9|4.4|PRESENT|0|627200.68
195|1354|April 02, 2021|192.3|17.4|3.4|Leave|0|473317.12
196|1814|2024-04-27|142.3|19.8|4.5|absent |0|308765.23
197|1771|25/03/22|121.3|18.0|2.6|Present|0|742571.93
198|1656|2023-02-28|134.4|9.3|3.8|present|0|215068.2
199|1371|05-Jul-2018|155.9|10.9|4.1|Present|0|314720.03
200|1149|08/17/2019|171.8|13.8|1.5|absent |0|521233.25
201|1500|02/10/18|198.1|8.1|1.0|Remote|37970.36|729927.59
202|1325|03/12/2021|154.3|3.3|3.0|Present|19276.91|164533.97
203|1625|2018-11-02|134.8|19.9|4.3|Leave|0|411452.72
204|1508|January 05, 2020|180.8|17.9|4.5|Leave|0|366163.27
205|1799|23-11-2019|198.9|8.8|1.1|Remote|0|544774.84
206|1025|15-10-2022|156.6|4.0|4.3|Present|25184.3|773090.12
207|1091|27/10/23|174.7|22.6|4.7|Remote|39255.78|229222.87
208|1832|13-Jan-2018|186.4|21.6|2.9|PRESENT|0|409773.44
209|1691|September 04, 2023|159.9|4.6|4.8|Present|0|936575.53
210|1252|06/09/2016|149.6|12.4|4.2|Present|0|542590.26
211|1277|09-07-2018|144.9|13.4|3.6|Present|36358.21|764394.36
212|1159|23-06-2024|139.1|4.9|4.3|absent |6181.76|650059.59
213|1608|03/26/2024|160.3|8.9|1.1|PRESENT|0|281161.42
214|1571|02-02-2022|128.0|11.2|2.9|Absent|0|234175.68
215|1304|March 16, 2020|163.5|0.2|1.0|Leave|0|730252.05
216|1828|27-11-2024|122.1|5.6|4.3|Present|0|870712.84
217|1460|September 19, 2024|120.2|6.2|3.9|Absent|0|183322.37
218|1595|September 03, 2018|142.8|20.8|3.6|Remote|0|171801.21
219|1276|14-Dec-2022|145.3|15.5|3.5|Present|0|615779.71
220|1454|05/21/2024|137.8||3.7|absent |0|837560.05
221|1616|2024-07-26|153.7|9.4|3.8|Present|0|667200.17
222|1702|September 01, 2021||17.9|3.8|Present|0|532636.37
223|1376|June 19, 2024|128.7|18.0|1.2|Present|0|888475.24
224|1276|20-Mar-2020|126.8|0.2|4.9|Leave|0|359247.28
225|1322|08-Jul-2023|181.5|23.3|1.7|Leave|0|449369.21
226|1732|2023-05-04|196.4|4.9|1.0|Leave|0|657273.44
227|1404|November 27, 2021|156.7|9.5|4.4|Remote|0|696817.51
228|1219|February 07, 2024|125.7|11.6|4.5|Present|0|579349.12
229|1373|April 07, 2022|195.5|3.9|4.5|Present|0|194625.58
230|1217|10-02-2024|168.2|7.1|4.5|Present|0|378101.72
231|1257|2023-04-26|194.7|6.7||Leave|0|211198.38
232|1029|January 25, 2020|146.5|24.9|4.1|PRESENT|0|914975.15
233|1434|07/04/17|133.6|7.4|4.7|Remote||450353.27
234|1741|September 19, 2021|173.2|8.7|4.3|Absent|12160.81|765207.05
235|1712|26-04-2024|120.7|7.5|4.6|Remote|0|723275.68
236|1101|01/07/2023|176.9|13.3|3.6|Remote|0|536329.45
237|1535|19/09/24|165.3|0.1|4.4|present|0|330743.49
238|1345|14-Dec-2020|127.4|1.5|1.3|PRESENT|33878.17|297475.44
239|1818|May 25, 2020|143.2|12.7|3.7|Present|0|844052.35
240|1570|12/27/2022|157.0|9.4|2.0|Remote|0|703020.32
241|1227|February 08, 2016|196.4|24.4|2.0|Present|412.43|368007.76
242|1818|15-07-2023|152.4|12.4|4.1|Present|0|687246.89
243|1830|June 17, 2021|197.7|15.5|1.8|present|0|213974.92
244|1564|March 27, 2022|166.4|17.0|2.9|absent |37944.51|400863.41
245|1774|23-10-2022||22.1|4.1|Remote|40404.05|609493.82
246|1203|08/11/19|146.7|23.7|4.1|Absent|0|617643.96
247|1260|12/14/2022|187.1|15.5|4.2|Present|0|208180.18
248|1326|August 01, 2020|192.9|7.3|4.9|Present|0|723958.63
249|1119|March 21, 2024|183.2|22.9|1.8|Absent|0|670723.22
250|1508|February 22, 2022|153.3|23.7|2.0|PRESENT|0|769382.17
251|1189|2024-10-05|191.9|21.5|3.9|absent |0|252523.36
252|1028|23/07/23|173.5|8.0|1.8|Present|39348.19|814556.4
253|1536|21/03/16|159.7|20.4|2.5|Present|27268.36|474572.35
254|1460|28/11/22|189.0|6.7|1.6|Present|21991.4|612051.64
255|1595|20-04-2019||16.4|1.7|PRESENT|0|448838.33
256|1234|21-07-2019|150.4|12.0|4.2|Present|0|344874.33
257|1149|23-01-2024|142.2|11.5||Leave|0|918856.63
258|1760|13/04/23|178.1|20.0|4.1|absent |0|713620.67
259|1136|13-10-2024|177.7|1.7|3.0|Leave|29031.63|216422.11
260|1681|05/24/2018|||4.6|Present|0|476630.5
261|1264|2022-06-28|156.7|17.4|4.1|present|0|896987.44
262|1423|26/05/20|168.5|21.6|4.8|Leave|0|832792.01
263|1732|2024-03-24|156.2|3.2|1.5|Present|0|247527.9
264|1347|01/07/2021|172.7|18.9||Leave|26541.29|785976.76
265|1548|2022-12-04|130.6|3.3|3.4|Present||419092.68
266|1165|16-03-2019|138.4|15.2|3.6|absent |0|703507.78
267|1417|12-Jun-2022|164.0|21.5|2.1|Present|49152.39|564276.51
268|1631|August 20, 2018||1.7|3.1|Present|0|765010.72
269|1659|27/11/21|120.3|9.7|2.7|Remote|0|200541.67
270|1647|20-02-2023||1.9|1.1|Present|42111.74|875158.48
271|1392|2018-10-11|167.2|14.0|3.7|Leave|0|520255.84
272|1220|September 03, 2024||11.9|1.5|Absent|0|938250.42
273|1618|05/10/2020|198.2|8.5|1.6|Leave|0|490081.38
274|1327|23-07-2024|155.4|20.9|3.0|Present|0|704172.74
275|1612|24-12-2024||15.4|2.3|present|0|851495.78
276|1577|23-10-2019|194.1|14.5|4.0|Present|0|799102.0
277|1774|16-Nov-2018|159.6|10.5|3.2|PRESENT|0|825269.59
278|1105|25-Mar-2021|184.6|23.4|2.1|present|0|821582.22
279|1636|2024-09-13|158.4|21.2|4.4|PRESENT|0|167079.93
280|1651|26-Jul-2024|183.8|3.0|3.6|Present|0|389861.96
281|1325|11-01-2020|181.9|22.5|3.6|Absent|0|277201.29
282|1166|2023-01-05|157.0|24.7|4.3|Present|0|288925.53
283|1453|28-01-2024|160.5|7.4|3.0|Present|0|923395.02
284|1087|06-Mar-2021|126.9|0.5|1.8|Present|0|739353.54
285|1048|26/02/20|131.5|13.3||Present|49806.51|606428.85
286|1375|23-Jul-2020|122.1|15.4|2.6|Present|0|
287|1118|15-05-2023|127.6|9.9|3.6|Remote|0|861359.88
288|1056|November 05, 2023|135.7|5.4|2.4|Present|0|339248.3
289|1596|14-May-2024|194.4|24.9|2.2|Absent|0|237735.07
290|1847|04-11-2022|174.8|6.3|2.8|absent |0|454041.74
291|1235|09/09/21|121.7|17.6|3.8|Absent|0|903539.24
292|1277|18-Jun-2024|128.0|19.1|1.3|Present|0|596649.16
293|1710|23-Jun-2021|192.5||1.7|absent |0|225666.98
294|1357|21-Dec-2022|153.6|3.4|1.1|Present|0|633645.06
295|1840|04/01/2021|161.1|12.1|3.7|PRESENT|0|186094.9
296|1191|August 11, 2020|190.1|17.5|3.3|Present|0|366824.37
297|1270|01/08/2024|157.3|8.8|4.9|PRESENT|0|741439.91
298|1734|02/14/2021|143.1|19.4|3.4|PRESENT|0|373484.88
299|1756|2020-05-16|136.7|17.6|3.7|Remote|0|372544.94
300|1642|12/05/23|145.1|10.6|2.0|PRESENT|0|513215.8
301|1708|2020-12-24|199.8|8.8|1.7|Present|0|169935.71
302|1505|2023-04-21|130.2|4.2|1.5|Leave|43398.06|440523.12
303|1752|June 19, 2017|-5.0|21.4|4.4|present|19270.92|430208.11
304|1729|April 17, 2019|191.8|11.5|4.0|Absent|0|876800.24
305|1694|March 06, 2019|184.9|17.3||Present|10995.07|428410.34
306|1475|26-02-2023|177.4|17.5|4.7|Absent|0|624565.69
307|1367|2021-04-16|141.0|0.8|2.8|Present|32436.57|182270.53
308|1184|13-Sep-2022|191.7|16.7|1.0|Remote|21008.36|876490.28
309|1643|July 14, 2023|181.9|1.8|1.4|Remote|0|666568.32
310|1072|09/06/20|174.3|23.5|2.7|Present|0|491230.56
311|1423|06-Jul-2019|137.1|23.9|1.8|present|0|174656.02
312|1533|20-10-2020|137.3|21.3|4.9|Present|0|363339.54
313|1474|03/16/2021|191.4||2.6|Present||764337.45
314|1338|02-10-2023|140.8|9.2|4.1|Present|3517.02|447294.68
315|1344|2022-06-23|154.6|5.3|1.6|Present|0|764415.59
316|1498|March 25, 2018|167.6|1.3|4.7|absent |0|701468.3
317|1234|February 27, 2020|138.5|13.6|1.6|Present|37770.69|651618.57
318|1240|03/12/2020|194.0|19.3|4.9|Absent|0|767130.44
319|1779|06-Sep-2017|159.9|7.5|4.9|PRESENT|0|344590.03
320|1441|21-Apr-2022|124.6|15.7|1.5|Absent|0|824807.59
321|1142|18/11/24|176.3|20.6|2.3|Present|21403.88|346435.05
322|1058|10/21/2023|136.4|10.1|1.3|Present|0|625145.65
323|1570|19-02-2023|167.9|5.7|4.1|absent |0|700298.68
324|1392|2021-04-25|147.7|12.4|3.7|Leave|0|482598.87
325|1845|15/02/24|136.0||1.3|Absent|0|765152.15
326|1193|08-May-2023|120.4|24.5|3.6|Present|7174.34|664250.1
327|1392|2019-06-16|158.1|10.8|1.4|Present|0|820843.75
328|1693|14-May-2024|163.7|15.0|1.8|Present|0|919584.25
329|1800|25-Apr-2023||16.3|3.3|absent |0|894681.99
330|1177|27/01/19|163.1|19.5|1.9|Present|0|536231.78
331|1079|October 13, 2022|197.9|20.9|1.6|PRESENT|0|698607.69
332|1154|2023-06-27|161.1|18.8|3.5|Present|0|779273.45
333|1004|October 24, 2018|189.7|8.5|3.7|Present|18650.72|908423.86
334|1819|02/20/2024||2.5|2.1|Present|16910.92|276635.9
335|1433|09-Oct-2020|179.6|18.5|4.4|Leave|0|362280.1
336|1441|11/03/23|136.2|6.1||Present|0|277618.16
337|1832|28-Nov-2024|188.4|7.7|3.5|Present|0|655576.39
338|1629|27-08-2023|159.6|4.8|2.9|Present|0|382375.76
339|1391|11/13/2022|196.8|3.8|1.5|Present|0|518925.58
340|1561|2020-06-12|123.3|22.5|1.5|Present|0|544897.69
341|1316|13-03-2021|134.4|7.3||PRESENT|0|249092.36
342|1274|06-Jan-2020|181.3|20.6|3.1|Remote|0|747219.79
343|1681|07/06/20|157.2|24.6|2.1|Present|0|533602.4
344|1252|03/28/2019|146.6|1.4|3.9|Present|0|930000.18
345|1473|February 19, 2020|168.2|5.3||Present|0|903860.8
346|1794|19-Aug-2020|151.3|23.3|3.0|Present|0|517481.01
347|1330|July 13, 2020|187.2|12.2|3.2|Present|5803.22|252925.91
348|1392|June 07, 2016|165.2|19.6|2.1|absent |0|709095.2
349|1142|May 20, 2024|132.1|2.8|3.3|Absent|0|
350|1517|16-06-2022|126.3|22.2|1.4|Present|0|380875.39
351|1559|2022-04-13|129.2|24.1|3.3|PRESENT|0|580365.22
352|1625|13/02/19|151.8|2.7|2.4|absent |0|730661.73
353|1667|06/17/2024|166.8||3.0|present|32675.26|
354|1202|14/01/21|123.6|21.5|4.7|PRESENT|0|935498.23
355|1124|August 21, 2022|139.7|12.8|2.5|Present|1249.26|395963.41
356|1354|25/06/22|154.0|19.5|2.2|Remote|38344.13|446325.4
357|1802|2021-07-09|152.8|15.4|4.6|Leave|0|346076.75
358|1681|20/08/24|166.6|20.9|3.5|Present|0|805259.26
359|1716|27-05-2022|176.8|22.2|4.1|Absent|0|516724.59
360|1058|2024-06-11|161.7|22.5|2.7|Present|0|628668.13
361|1358|2018-07-03||23.4|3.6|Present|0|752642.55
362|1608|18-11-2020|186.2|6.8|2.9|absent |41369.48|909396.97
363|1162|2015-07-07|150.3|24.2|4.0|Remote|0|244461.14
364|1409|09/01/21|158.4|3.4|3.3|Present|0|581502.15
365|1672|February 14, 2021|177.9|15.7|2.7|absent |0|593906.93
366|1270|22-Jan-2022|153.7|0.6|2.4|present|0|687775.27
367|1080|2022-04-09|150.0||3.4|PRESENT|0|812427.05
368|1234|January 04, 2020|133.9|22.4|3.8|Present|22061.84|555760.03
369|1112|20-01-2022|178.7|3.8|3.5|PRESENT|46034.54|717890.45
370|1598|February 18, 2024|189.6|9.7|1.1|Absent|16395.66|
371|1581|03-10-2022|133.6|20.9|3.3|Present|21392.53|488943.16
372|1617|2022-01-18|184.0|2.4|2.3|Remote|0|482314.48
373|1053|05/01/16|129.4|11.6|4.5|Leave|0|391016.55
374|1613|04-07-2020|146.5|0.6|3.1|absent |0|618414.02
375|1008|03-Aug-2021|197.8|21.7|4.2|absent |0|154711.61
376|1491|14-Sep-2024|125.4|1.0|3.7|Present|0|318888.41
377|1337|04/02/2020||19.4|4.0|Present|0|460884.34
378|1414|09-Sep-2023|176.0|21.3|2.1|present|0|166575.31
379|1246|22-Mar-2021|140.9|5.3|3.8|absent |0|365529.56
380|1473|09/19/2020|161.6|2.4|4.4|Leave|0|418867.87
381|1818|May 15, 2019|180.9|18.0|3.9|PRESENT|0|890562.94
382|1746|26/11/19|123.3|17.2|2.0|Absent|2460.34|585037.53
383|1275|10-Dec-2018|120.4|14.5|2.7|Present|4122.53|930416.81
384|1834|12/12/24|193.4|11.6|3.9|absent |0|877762.88
385|1514|01/07/22|153.3|18.2|4.2|Leave|0|352908.23
386|1583|2023-10-17|171.7|14.8|1.4|absent |0|796341.43
387|1236|10-12-2023|-5.0|22.5|3.3|Present|0|398473.79
388|1626|26-Aug-2018|199.4|6.4|2.7|Present|0|798644.88
389|1665|16-Jun-2024|187.9|9.5|3.5|Leave|5678.5|407940.85
390|1687|November 09, 2022|140.3|17.0|4.3|Present|3839.36|633846.01
391|1801|2022-08-19|192.5|24.7|2.4|Leave|0|724670.58
392|1362|07/12/2021|147.7|0.9|2.5|Leave|0|562445.73
393|1478|03-Mar-2018|156.6|12.8|3.1|Present|0|396377.22
394|1556|12/17/2022|149.4|14.2|2.5|present|0|653584.95
395|1753|2023-05-13|164.2||5.0|Present|0|857856.98
396|1319|December 10, 2020|159.3|21.1|2.8|absent |0|325846.15
397|1488|2017-11-01|128.1|12.1||Leave|0|675932.34
398|1083|04/13/2023|129.6|2.9|3.3|Present|25929.04|539586.1
399|1195|27/11/20|122.0|7.5|4.7|present|0|545667.59
